dateymd,state,confirmed,deceased,recovered,confirmed_prev,confirmed_diff,confirmed_perc,confirmed_cum,confirmed_cum_prev,confirmed_cum_diff,confirmed_cum_perc,deceased_prev,deceased_diff,deceased_perc,deceased_cum,deceased_cum_prev,deceased_cum_diff,deceased_cum_perc,recovered_prev,recovered_diff,recovered_perc,recovered_cum,recovered_cum_prev,recovered_cum_diff,recovered_cum_perc,active,active_cum,active_prev,active_diff,active_perc,active_cum_prev,active_cum_diff,active_cum_perc
2020-12-30,Andaman and Nicobar Islands,5,0,9,7,-2,-28.57,4937,4932,5,0.1,0,0,0.0,62,62,0,0.0,8,1,12.5,4811,4802,9,0.19,-4,64,-1,-3,0.0,68,-4,-5.88
2020-12-30,Andhra Pradesh,349,4,472,326,23,7.06,881948,881599,349,0.04,2,2,100.0,7104,7100,4,0.06,364,108,29.67,871588,871116,472,0.05,-127,3256,-40,-87,0.0,3383,-127,-3.75
2020-12-30,Arunachal Pradesh,2,0,11,13,-11,-84.62,16711,16709,2,0.01,0,0,0.0,56,56,0,0.0,17,-6,-35.29,16549,16538,11,0.07,-9,106,-4,-5,0.0,115,-9,-7.83
2020-12-30,Assam,76,3,115,66,10,15.15,216037,215961,76,0.04,2,1,50.0,1048,1045,3,0.29,87,28,32.18,211835,211720,115,0.05,-42,3154,-23,-19,0.0,3196,-42,-1.31
2020-12-30,Bihar,474,4,558,622,-148,-23.79,252400,251926,474,0.19,3,1,33.33,1393,1389,4,0.29,523,35,6.69,246386,245828,558,0.23,-88,4621,96,-184,-191.67,4709,-88,-1.87
2020-12-30,Chandigarh,67,0,30,64,3,4.69,19682,19615,67,0.34,0,0,0.0,316,316,0,0.0,81,-51,-62.96,18967,18937,30,0.16,37,399,-17,54,0.0,362,37,10.22
2020-12-30,Chhattisgarh,1069,14,1588,1134,-65,-5.73,278540,277471,1069,0.39,17,-3,-17.65,3350,3336,14,0.42,1607,-19,-1.18,263251,261663,1588,0.61,-533,11939,-490,-43,0.0,12472,-533,-4.27
2020-12-30,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0.0,3358,3358,0,0.0,0,0,0.0,2,2,0,0.0,1,-1,-100.0,3302,3302,0,0.0,0,54,-1,1,0.0,54,0,0.0
2020-12-30,Delhi,677,21,940,703,-26,-3.7,624795,624118,677,0.11,28,-7,-25.0,10523,10502,21,0.2,850,90,10.59,608434,607494,940,0.15,-284,5838,-175,-109,0.0,6122,-284,-4.64
2020-12-30,Goa,97,2,114,112,-15,-13.39,50981,50884,97,0.19,1,1,100.0,737,735,2,0.27,116,-2,-1.72,49313,49199,114,0.23,-19,931,-5,-14,0.0,950,-19,-2.0
